keyword,avg_monthly_searches,competition,competition_index,low_top_of_page_bid_micros,high_top_of_page_bid_micros,classification,source_file
text monitoring app iphone,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
best text marketing app,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_a_2026-06-27.json
send text from fake number free,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
local hookup facebook messenger spam,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
send fake text messages from different number free,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
stop spam texts iphone free,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
extortion text messages,0,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
robo text blocker,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
fake number that can receive text,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
text mail scam,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
facebook messenger phishing attack,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
facebook messenger sex scams,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
best app to block spam texts,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
i got scammed on facebook messenger,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
fake number that receives texts,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
free spam text blocker android,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
best spam text blocker android,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
best app to block spam texts iphone,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
best text spam blocker android,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
free spam text blocker iphone,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
android spam text blocker,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas_broad_volume_b_2026-06-27.json
text someone off a fake number,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
phishing text messages iphone,0,UNSPECIFIED,0,0,0,block_or_negative,keyword_ideas_broad_volume_b_2026-06-27.json
text message scams 2022,0,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
spoof number to receive text,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_broad_volume_b_2026-06-27.json
weight loss text messages spam,0,UNSPECIFIED,0,0,0,broad_discovery_needs_negatives,keyword_ideas_broad_volume_b_2026-06-27.json
scam sms warning app,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas_play_url_volume_2026-06-27.json
otp inbox app,0,UNSPECIFIED,0,0,0,high_intent_or_utility,keyword_ideas_play_url_volume_2026-06-27.json
dpd phishing sms,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas.json
otp scam warning app,0,UNSPECIFIED,0,0,0,high_intent_or_utility,keyword_ideas.json
otp fraud warning app,0,UNSPECIFIED,0,0,0,high_intent_or_utility,keyword_ideas.json
scam text alert app,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas.json
sms link warning app,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas.json
sms phishing warning,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas.json
otp sms organizer,0,UNSPECIFIED,0,0,0,high_intent_or_utility,keyword_ideas.json
sms scam app for parents,0,UNSPECIFIED,0,0,0,scale_candidate_problem,keyword_ideas.json
suspicious sms link,0,UNSPECIFIED,0,0,0,review_or_exclude,keyword_ideas.json
